feature_id,n_languages,l1_covered,total_covered,l1_share,total_share,dataset,feature
100A,377,3550987303.0,6415818124.167,51.8,59.0,wals,Alignment of Verbal Person Marking
101A,705,3929519165.0,6697168432.42003,57.3,61.6,wals,Expression of Pronominal Subjects
102A,375,3549392603.0,6415818124.167,51.7,59.0,wals,Verbal Person Marking
103A,377,3550987303.0,6415818124.167,51.8,59.0,wals,Third Person Zero of Verbal Person Marking
104A,376,3550986183.0,6415818124.167,51.8,59.0,wals,Order of Person Markers on the Verb
105A,373,3909895019.0,6850332571.9912,57.0,63.0,wals,Ditransitive Constructions: The Verb 'Give'
106A,174,3466466457.0,6396575588.1142,50.5,58.9,wals,Reciprocal Constructions
107A,370,3550947823.0,6415818124.167,51.8,59.0,wals,Passive Constructions
108A,193,3595792201.0,6506978248.9788,52.4,59.9,wals,Antipassive Constructions
108B,185,3595167201.0,6505371791.378799,52.4,59.9,wals,Productivity of the Antipassive Construction
109A,182,3589937381.0,6509281019.3068,52.3,59.9,wals,Applicative Constructions
109B,182,3589937381.0,6509281019.3068,52.3,59.9,wals,Other Roles of Applied Objects
10A,243,3354615677.0,6172354977.8977995,48.9,56.8,wals,Vowel Nasalization
10B,40,19895349.0,17022201.345,0.3,0.2,wals,Nasal Vowels in West Africa
110A,117,2357806441.0,4564060138.0252,34.4,42.0,wals,Periphrastic Causative Constructions
111A,309,3948078302.0,6970284498.8442,57.6,64.1,wals,Nonperiphrastic Causative Constructions
112A,1133,5047307129.0,8153840950.49493,73.6,75.0,wals,Negative Morphemes
113A,295,3571085814.0,6498206061.6888,52.1,59.8,wals,Symmetric and Asymmetric Standard Negation
114A,295,3571085814.0,6498206061.6888,52.1,59.8,wals,Subtypes of Asymmetric Standard Negation
115A,204,4096244863.0,7053487919.42873,59.7,64.9,wals,Negative Indefinite Pronouns and Predicate Negation
116A,941,4922366729.0,8670994704.04983,71.8,79.8,wals,Polar Questions
117A,239,3809561232.0,6427168225.1449995,55.5,59.1,wals,Predicative Possession
118A,382,4128096773.0,7044180565.7812,60.2,64.8,wals,Predicative Adjectives
119A,382,4128096773.0,7044180565.7812,60.2,64.8,wals,Nominal and Locational Predication
11A,554,4292711474.0,7294330961.2226,62.6,67.1,wals,Front Rounded Vowels
120A,382,4128096773.0,7044180565.7812,60.2,64.8,wals,Zero Copula for Predicate Nominals
121A,164,3522965690.0,6610612691.5504,51.4,60.8,wals,Comparative Constructions
122A,165,3409548632.0,6230347829.605,49.7,57.3,wals,Relativization on Subjects
123A,111,3259654513.0,6061909519.4682,47.5,55.8,wals,Relativization on Obliques
124A,279,3893619681.0,6595542253.9748,56.8,60.7,wals,'Want' Complement Subjects
125A,170,3247485646.0,5786342323.023999,47.3,53.2,wals,Purpose Clauses
126A,174,3554378205.0,6328710191.2932,51.8,58.2,wals,'When' Clauses
127A,169,3588457300.0,6368370561.2318,52.3,58.6,wals,Reason Clauses
128A,142,3446792814.0,6301141177.584399,50.2,58.0,wals,Utterance Complement Clauses
129A,608,3803448910.0,6666646136.65518,55.4,61.3,wals,Hand and Arm
12A,479,4050645676.0,6974810688.1216,59.0,64.2,wals,Syllable Structure
130A,586,3783832298.0,6645749265.366679,55.2,61.2,wals,Finger and Hand
130B,69,482358.0,307491.9176,0.0,0.0,wals,Cultural Categories of Languages with Identity of 'Finger' and 'Hand'
131A,192,3448942934.0,6314694383.1564,50.3,58.1,wals,Numeral Bases
132A,119,2325030696.0,4500294674.8057995,33.9,41.4,wals,Number of Non-Derived Basic Colour Categories
133A,119,2325030696.0,4500294674.8057995,33.9,41.4,wals,Number of Basic Colour Categories
134A,120,2325030702.0,4500294674.8057995,33.9,41.4,wals,Green and Blue
135A,120,2325030702.0,4500294674.8057995,33.9,41.4,wals,Red and Yellow
136A,229,3285714186.0,6083956600.9062,47.9,56.0,wals,M-T Pronouns
136B,229,3285723711.0,6083956600.9062,47.9,56.0,wals,M in First Person Singular
137A,229,3285714186.0,6083956600.9062,47.9,56.0,wals,N-M Pronouns
137B,229,3285723711.0,6083956600.9062,47.9,56.0,wals,M in Second Person Singular
138A,225,5002798087.0,8202659273.01303,72.9,75.5,wals,Tea
