block,feature_id,feature,creole,creole_gc,lexifier,lexifier_group,creole_value,lexifier_value,verdict,note
derivation,GB047,action/state noun from verb (nominalisation),San Andres Creole English,sana1297,English,european,0,1,LOST,
derivation,GB048,agent noun from verb,San Andres Creole English,sana1297,English,european,0,1,LOST,
derivation,GB049,object noun from verb,San Andres Creole English,sana1297,English,european,0,1,LOST,
derivation,GB187,diminutive on the noun,San Andres Creole English,sana1297,English,european,0,1,LOST,
derivation,GB188,augmentative on the noun,San Andres Creole English,sana1297,English,european,0,1,LOST,
derivation,GB155,causative by affix/clitic on the verb,San Andres Creole English,sana1297,English,european,0,0,ABSENT,
derivation,GB113,transitivising affix/clitic,San Andres Creole English,sana1297,English,european,0,1,LOST,
inflection,GB044,productive plural marking on nouns,San Andres Creole English,sana1297,English,european,0,1,LOST,
inflection,GB070,morphological case on core arguments,San Andres Creole English,sana1297,English,european,0,0,ABSENT,
inflection,GB072,morphological case on obliques,San Andres Creole English,sana1297,English,european,0,0,ABSENT,
inflection,GB079,verb prefixes/proclitics (beyond argument marking),San Andres Creole English,sana1297,English,european,0,0,ABSENT,
inflection,GB080,verb suffixes/enclitics (beyond argument marking),San Andres Creole English,sana1297,English,european,0,1,LOST,
inflection,GB082,present-tense marking on the verb,San Andres Creole English,sana1297,English,european,0,0,ABSENT,
inflection,GB083,past-tense marking on the verb,San Andres Creole English,sana1297,English,european,0,1,LOST,
inflection,GB084,future-tense marking on the verb,San Andres Creole English,sana1297,English,european,0,0,ABSENT,
inflection,GB086,perfective/imperfective on the verb,San Andres Creole English,sana1297,English,european,0,0,ABSENT,
inflection,GB089,S indexed by suffix on the verb (agreement),San Andres Creole English,sana1297,English,european,0,1,LOST,
inflection,GB092,A indexed by prefix on the verb (agreement),San Andres Creole English,sana1297,English,european,0,0,ABSENT,
inflection,GB147,morphological passive on the lexical verb,San Andres Creole English,sana1297,English,european,0,0,ABSENT,
periphrasis,GB122,verb compounding is a regular process,San Andres Creole English,sana1297,English,european,0,0,ABSENT,
