feature,interlang,contested,rationale,n,pct_lang,pct_L1,popular_value,costs_population
GB130,1,False,SVO: S precedes V in intransitives,2251,79.0,93.2,1,False
GB131,0,False,SVO: not verb-initial,2278,80.2,93.5,0,False
GB132,1,False,SVO: verb-medial,2257,48.0,61.3,1,False
GB133,0,False,SVO: not verb-final,2266,56.9,62.9,0,False
GB136,1,False,argument order is fixed - it is the ONLY marker of role,1969,61.9,46.2,0,True
GB134,1,True,"same order in subordinate clauses; no rule says otherwise (GB134 is 96.4% of L1) - entailed, never explicitly decided",1697,94.0,96.4,1,False
GB135,1,True,"complement clauses fill the object slot (Tier 3), so clausal and nominal objects sit in the same place",1553,88.7,90.2,1,False
GB074,1,False,prepositions (Tier 0),2196,55.5,68.5,1,False
GB075,0,False,no postpositions (Tier 0),2090,51.5,61.1,0,False
GB193,1,False,modifier rule: property word precedes noun,2062,23.7,70.8,1,False
GB024,1,False,modifier rule: numeral precedes noun,2131,39.7,84.2,1,False
GB025,1,False,modifier rule: demonstrative precedes noun,2200,40.3,78.7,1,False
GB065,1,False,modifier rule: possessor precedes possessed,2253,44.7,69.8,1,False
GB203,1,False,modifier rule: 'all' precedes noun,1519,37.5,34.7,2,True
GB026,0,False,"no discontinuous NPs - fixed order, no movement",1720,93.8,92.6,0,False
GB327,1,False,relative clause follows the noun (Tier 0 / Tier 3),1682,82.6,57.1,1,False
GB328,0,False,relative clause never precedes,1541,70.0,41.6,1,True
GB329,0,False,no internally-headed relatives,1378,86.8,82.3,0,False
GB330,0,False,no correlatives,1355,87.9,74.1,0,False
GB020,0,False,no definite article - the demonstrative does the work,2130,62.0,63.9,0,False
GB021,0,False,no indefinite article - 'one' does the work,2153,86.2,76.0,0,False
GB022,0,False,"no articles at all, so none prenominal",2139,74.2,63.9,0,False
GB023,0,False,"no articles at all, so none postnominal",2137,76.0,92.8,0,False
GB042,0,False,no morphology: no singular marking,2280,81.4,72.7,0,False
GB043,0,False,no dual,2234,92.3,97.1,0,False
GB044,0,False,no plural MORPHOLOGY (we use a free word - see GB318),2234,44.1,38.9,1,True
GB046,0,False,no associative plural,1432,78.4,84.2,0,False
GB039,0,False,"no morphology, so no allomorphy of number markers",2080,75.9,67.4,0,False
GB041,0,False,no suppletive nouns for number,1690,91.8,94.7,0,False
GB316,0,False,no dedicated singular word,1958,94.7,95.6,0,False
GB317,0,False,no dual,1949,96.2,98.2,0,False
GB318,1,True,"optional plural WORD (Q7). Grambank says 'regularly marked'; ours is optional, so a coder might say 0",1986,18.2,10.8,0,True
GB319,0,False,no trial,1968,99.5,100.0,0,False
GB320,0,False,no paucal,1954,99.1,100.0,0,False
GB165,0,False,no trial marking on nouns,2071,99.6,100.0,0,False
GB166,0,False,no paucal marking on nouns,2062,98.8,99.3,0,False
GB057,0,False,"no numeral classifiers (Q7) - a deliberate override, see PART 2",2110,76.4,63.6,0,False
GB058,0,False,no possessive classifiers (Tier 3 predication),2165,90.2,95.0,0,False
GB059,0,False,no alienable/inalienable split (Tier 3 predication),1965,52.6,86.4,0,False
GB038,0,False,no demonstrative classifiers,2136,94.6,76.0,0,False
GB036,0,False,no elevation deixis,2117,92.2,99.9,0,False
GB037,0,False,no visible/non-visible deixis,2080,90.0,97.1,0,False
GB051,0,False,no gender/noun class,2139,81.6,59.2,0,False
GB052,0,False,no gender/noun class,2160,92.9,96.9,0,False
GB053,0,False,no gender/noun class,2113,76.8,78.5,0,False
GB054,0,False,no gender/noun class,2123,93.2,96.8,0,False
GB192,0,False,no gender/noun class,2028,93.6,72.2,0,False
GB321,0,False,no gender/noun class,1900,88.8,86.4,0,False
GB170,0,False,no agreement of any kind,2073,78.0,61.1,0,False
GB171,0,False,no agreement of any kind,2075,75.9,71.2,0,False
GB172,0,False,no articles and no agreement,2056,91.1,86.4,0,False
GB184,0,False,no number agreement,1874,62.0,50.1,0,False
GB185,0,False,no number agreement,1907,56.3,42.8,1,True
GB186,0,False,no articles and no agreement,1925,84.7,86.6,0,False
GB198,0,False,no numeral agreement,1998,80.7,77.3,0,False
GB314,0,False,"no gender, so no augmentative by class shift",1751,95.2,93.7,0,False
GB315,0,False,"no gender, so no diminutive by class shift",1789,91.4,87.2,0,False
GB070,0,False,no case on nouns (Tier 0),2200,66.2,60.7,0,False
GB071,0,False,no case on pronouns (Q8) - this is what killed alignment,2173,54.8,38.9,1,True
GB072,0,False,no oblique case - prepositions instead,2162,53.6,62.3,0,False
GB073,0,False,no oblique case on pronouns,2042,54.9,60.4,0,False
GB408,0,False,"no flagging at all, so no accusative alignment",1726,56.0,33.6,1,True
GB409,0,False,"no flagging at all, so no ergative alignment",1722,78.3,84.3,0,False
GB410,1,True,"neutral alignment: S, A and P are all unflagged. A coder might read GB410 as requiring a flagging system to exist",1696,70.7,69.8,1,False
GB079,0,False,no affixes (Tier 0),2104,32.0,60.9,0,False
GB080,0,False,no affixes (Tier 0),2196,16.7,30.8,1,True
GB081,0,False,no affixes (Tier 0),2080,85.0,81.9,0,False
GB089,0,False,no person indexing on the verb,2247,59.5,53.3,0,False
GB090,0,False,no person indexing on the verb,2254,57.8,90.9,0,False
GB091,0,False,no person indexing on the verb,2241,63.4,52.4,0,False
GB092,0,False,no person indexing on the verb,2256,61.2,91.1,0,False
GB093,0,False,no person indexing on the verb,2237,65.6,79.8,0,False
GB094,0,False,no person indexing on the verb,2234,77.4,95.6,0,False
GB095,0,False,no marking to vary,1976,88.1,72.6,0,False
GB096,0,False,no marking to vary,1981,88.1,94.6,0,False
GB098,0,False,no marking to vary,1992,81.3,80.7,0,False
GB099,0,False,no stem alternation - invariant word forms,1883,92.5,85.4,0,False
GB400,0,False,no person marking anywhere to neutralise,1461,93.0,87.7,0,False
GB111,0,False,no conjugation classes - nothing inflects,2041,63.0,59.7,0,False
GB109,0,False,no verb suppletion for participant number,1831,87.0,86.4,0,False
GB110,0,False,no verb suppletion for tense/aspect,1829,89.5,75.8,0,False
GB300,0,False,no suppletion; regularity is a stated design goal,1251,88.8,75.7,0,False
GB402,0,False,no suppletion,1095,94.2,87.2,0,False
GB403,0,False,no suppletion,1124,83.3,66.6,0,False
GB082,0,False,no tense morphology (Q6),2189,65.8,51.8,0,False
GB083,0,False,no tense morphology (Q6),2199,47.6,36.1,1,True
GB084,0,False,no tense morphology (Q6),2204,54.5,51.1,0,False
GB086,0,False,no aspect morphology (Q6),2064,33.2,22.1,1,True
GB312,0,False,no mood morphology (Q6),1865,30.4,42.6,1,True
GB309,0,False,no graded remoteness tenses (Q6 context feature),1867,68.2,67.8,0,False
GB119,0,False,no inflecting words at all,1833,72.0,47.3,1,True
GB120,0,False,no inflecting words at all,1870,67.8,49.1,1,True
GB121,0,False,no inflecting words at all,1896,78.4,53.8,0,False
GB519,0,True,"Q6: mood is an OPEN-CLASS ADVERB, not an auxiliary particle. A coder who reads 'non-inflecting word' loosely would say 1",1553,60.0,48.9,1,True
GB520,0,True,"Q6: aspect is an open-class adverb, not a particle",1615,61.9,68.1,0,False
GB521,0,True,"Q6: tense is an open-class adverb, not a particle",1649,75.6,90.7,0,False
GB322,0,False,"no grammatical evidentiality (entailed by Q6, never stated)",1377,85.0,95.4,0,False
GB323,0,False,"no grammatical evidentiality (entailed by Q6, never stated)",1384,70.2,79.4,0,False
GB103,0,False,no applicatives - no affixes,1982,66.2,90.8,0,False
GB104,0,False,no applicatives - no affixes,1923,84.0,95.6,0,False
